NRIC,year,yearly_income,tax_paid,house_rebate,child_rebate,education_rebate
G4119892B,2017,400000,2400,1700,550,1000
G2885192A,2017,360000,6100,1400,450,3400
G3057583L,2017,830000,6500,1600,750,4600
G4216088X,2017,380000,3800,400,400,1600
G897664L,2017,140000,4000,200,350,400
G5813144K,2017,820000,8400,0,0,3000
G4003905L,2017,920000,8800,200,450,2600
G244740K,2017,880000,6600,2200,1000,4600
G5533439L,2017,870000,6200,1900,400,3800
G1730988J,2017,510000,3800,1700,1200,1800
G4924196A,2017,850000,1600,1200,250,2600
G1138532J,2017,270000,9000,100,800,100
G4068402K,2017,1000000,7800,300,350,2900
G2241742L,2017,290000,8100,1500,200,400
G5936696L,2017,150000,2500,1700,1050,1300
G3339421L,2017,760000,2900,100,1050,5200
G2627359A,2017,400000,5300,2400,750,600
G3950273L,2017,510000,5900,300,1050,2500
G4107202X,2017,50000,6900,1900,1250,5000
G5187729A,2017,400000,900,500,750,2800
G5217475B,2017,380000,2500,2500,100,3800
G3623198L,2017,280000,8500,1600,500,300
G5236636A,2017,390000,4900,0,550,2800
G3592544J,2017,180000,3200,1700,850,4600
G2152649L,2017,980000,7900,1400,50,3900
G2014437B,2017,190000,7200,2200,300,3600
G981978J,2017,520000,500,700,1000,3400
G3796716X,2017,160000,7300,1800,1050,3300
G4054487J,2017,770000,6800,700,550,2900
G5220043K,2017,750000,5200,1000,350,2400
G4509343K,2017,850000,4600,2300,800,3500
G3738335A,2017,620000,8900,900,0,600
G1240928J,2017,330000,2500,100,1200,3200
G3487355L,2017,120000,1100,1600,650,1200
G2645127K,2017,910000,9100,700,50,2700
G2449479X,2017,930000,7300,1000,1200,500
G4981675A,2017,1000000,2400,700,1200,2500
G3129085K,2017,660000,9900,400,800,4200
G5823493A,2017,100000,7000,100,100,2500
G1446451B,2017,780000,2500,1900,300,200
G4500557J,2017,550000,1600,1300,300,3100
G4983301B,2017,150000,7300,900,550,5300
G3675760L,2017,490000,7000,1800,50,3400
G4297123X,2017,530000,3200,900,250,5500
G3135754B,2017,40000,8800,500,50,2100
G797759B,2017,630000,6000,1500,1000,200
G4814761B,2017,900000,1100,0,950,2100
G4651225J,2017,320000,9400,2000,100,2700
G4324393K,2017,500000,5000,800,950,3000
G3341430X,2017,980000,5700,700,400,500
G608858X,2017,770000,3700,2300,1000,4100
G4547710K,2017,80000,9800,300,650,2900
G1457086K,2017,220000,8000,1000,150,5300
G1248106L,2017,210000,2200,1700,300,300
G382389K,2017,680000,7800,2500,450,5100
G4185679B,2017,430000,4900,2500,1050,3900
G4878248K,2017,810000,8100,1500,250,500
G4277599K,2017,640000,5600,2300,50,2700
G1831020K,2017,290000,8600,1000,350,5500
G4421888L,2017,640000,1400,500,1100,5100
G5599196K,2017,900000,7800,100,1150,4900
G4681846A,2017,600000,9200,1400,800,500
G563908B,2017,490000,5100,1900,200,2500
G2032415K,2017,690000,5200,1000,900,0
G2450835B,2017,110000,6300,1600,700,2700
G951571B,2017,460000,8100,1100,550,3900
G3690377L,2017,270000,6900,2400,50,2400
G1915108A,2017,60000,4900,0,450,3900
G962123L,2017,790000,4200,900,850,1900
G5764689B,2017,360000,8300,1900,650,0
G1896460B,2017,200000,1900,1400,1000,3800
G1713009K,2017,120000,8600,1700,550,4100
G2946565J,2017,840000,4900,2200,50,4000
G5642799L,2017,180000,1000,400,550,1000
G360956K,2017,430000,7000,2500,650,1000
G2748612K,2017,890000,2800,2200,50,5400
G3586545B,2017,810000,3800,100,300,5200
G3984171L,2017,700000,6300,1300,800,1200
G4831660A,2017,370000,3100,2400,700,300
G2505832L,2017,670000,3500,1300,750,400
G5653715L,2017,270000,500,2500,1250,1500
G1824474K,2017,340000,7800,600,650,3700
G2316927K,2017,440000,4500,600,250,1600
G2885768K,2017,1000000,9600,2000,600,0
G2015398L,2017,630000,7100,1500,700,800
G3282587A,2017,760000,9400,300,300,3600
G1451910A,2017,890000,4300,200,1250,3800
G3958449K,2017,790000,2300,2400,1100,2500
G2668637K,2017,410000,2500,2500,700,2000
G472930L,2017,800000,1300,1300,550,900
G2437821J,2017,750000,5100,1200,1000,500
G1336532K,2017,370000,6900,300,100,1900
G3302618B,2017,920000,2100,700,550,4300
G1855776X,2017,70000,8200,1800,650,3800
G477791A,2017,860000,5500,200,400,5100
G423451L,2017,710000,8800,2300,1100,3800
G2910176B,2017,170000,9600,2300,750,4900
G784421K,2017,830000,9400,1200,50,4000
G4659406X,2017,460000,10000,2400,0,2000
G5112171A,2017,470000,5400,600,50,5200
G1315697L,2017,820000,7200,500,1250,3900
G3232380K,2017,350000,7300,1100,50,700
G1336027X,2017,800000,3700,1500,550,600
G5117330B,2017,150000,5100,200,200,4800
G5577097K,2017,850000,9600,400,600,3000
G2908178J,2017,880000,3200,2200,1050,2700
G4730542A,2017,190000,700,400,250,4400
G753205L,2017,120000,600,100,150,5400
G1963905X,2017,220000,500,600,1250,1400
G1566686K,2017,490000,9700,700,550,3300
G2121262B,2017,600000,7000,700,850,2600
G2259718L,2017,750000,4700,0,700,5300
G3961116K,2017,520000,1400,2400,1000,5200
G2050886A,2017,500000,5500,600,600,3700
G359918X,2017,930000,6100,1800,700,5100
G4326030B,2017,400000,8400,1700,800,4400
G1815331A,2017,170000,4800,800,800,4800
G2930797L,2017,130000,1100,2100,550,1000
G632098J,2017,140000,7300,300,1000,300
G4845593B,2017,520000,6100,900,1250,2600
G1813187B,2017,870000,8200,700,450,3800
G5293426L,2017,370000,2400,1800,0,4400
G4673175L,2017,120000,2300,2200,600,4600
G861777K,2017,370000,1600,2500,500,3000
G3374290L,2017,350000,3000,2300,100,4100
G1791244X,2017,960000,9900,1700,1100,4200
G2079310B,2017,840000,5400,2300,1050,4200
G3955995J,2017,680000,7900,2200,800,2100
G4812114B,2017,310000,5100,2100,400,2900
G3071799L,2017,850000,4800,1900,1250,1000
G3563120L,2017,790000,3900,2500,500,1200
G4728575A,2017,170000,4200,1200,200,1100
G4560074K,2017,120000,9000,2000,1100,900
G1898394K,2017,780000,6900,1800,850,1000
G3602636B,2017,870000,5400,500,750,4100
G4838456B,2017,100000,2200,1200,950,5300
G3124022A,2017,230000,7000,1100,300,300
G3632832B,2017,940000,7900,1600,450,5500
G1956074B,2017,350000,6300,1700,1250,500
G2365453L,2017,350000,2200,2500,400,500
G611142X,2017,540000,5300,400,600,2900
G5519412J,2017,360000,3300,2400,450,4700
G5403266L,2017,290000,10000,1400,600,900
G293932K,2017,390000,400,2300,750,2000
G3751958J,2017,360000,9400,1500,300,4300
G3358677J,2017,690000,8300,1400,550,4800
G2123383K,2017,250000,4500,800,900,3900
G4321113A,2017,610000,3700,400,0,2300
G4561264A,2017,210000,1200,2300,50,2600
G2613323B,2017,140000,5400,1000,350,1300
G1218848B,2017,830000,3500,1600,0,3200
G257946K,2017,610000,6300,1000,150,2300
G4772031B,2017,880000,9800,1900,0,2500
G3402127B,2017,520000,3700,1900,600,1300
G5229937X,2017,260000,2100,1300,400,1100
G5215884L,2017,560000,700,1500,1050,400
G3550036L,2017,970000,3500,900,550,4200
G369345K,2017,700000,1400,1200,1100,500
G2399371K,2017,380000,3900,2500,250,2300
G2582886A,2017,260000,6200,1500,100,2100
G3418401K,2017,970000,6700,1600,300,1200
G1763952X,2017,700000,400,2000,300,1700
G4436212B,2017,680000,9200,1500,550,2700
G4064980K,2017,720000,5600,2200,600,2600
G1756053K,2017,730000,3500,2200,750,1800
G3750478K,2017,210000,3600,900,800,4800
G5242628B,2017,670000,3200,2100,450,2000
G4046802A,2017,1000000,500,1500,700,4700
G2755593L,2017,750000,8600,600,550,3900
G4156030K,2017,300000,8500,2500,500,2800
G2664627L,2017,470000,3600,1400,350,2400
G3802116J,2017,190000,6500,800,0,5100
G915163X,2017,610000,6600,500,850,2800
G4697497K,2017,440000,1900,1300,1000,4300
G1675761L,2017,890000,8300,600,850,2300
G5395930K,2017,610000,5400,2500,1100,3000
G3631155K,2017,620000,4200,1000,1000,4400
G3214145K,2017,560000,6700,400,1050,100
G3647943A,2017,500000,7400,0,100,1800
G1833278K,2017,940000,6800,1600,700,1000
G505388K,2017,520000,6500,2200,100,1500
G3800280A,2017,50000,1600,400,1250,3300
G938332B,2017,740000,2000,2500,150,3600
G647512L,2017,620000,3500,400,950,200
G2901287L,2017,780000,9600,100,200,2400
G1089820K,2017,620000,8500,300,850,800
G2055357J,2017,340000,9000,1600,400,3000
G3105270K,2017,110000,2600,2300,450,5100
G5004717L,2017,220000,6300,1000,1000,1000
G2680115L,2017,200000,4400,1100,700,1800
G2818559A,2017,500000,3800,1800,1050,600
G1081174B,2017,40000,7400,2100,450,2400
G1536194J,2017,720000,2500,2000,150,400
G4585013A,2017,410000,4000,2000,200,1400
G284195X,2017,510000,6000,1600,1100,4600
G3504516L,2017,460000,2200,500,750,100
G3795364J,2017,430000,9000,2200,250,3200
G2254824K,2017,540000,4400,1800,1100,1700
G2765017A,2017,60000,6300,700,550,3500
G4166134X,2017,310000,4700,500,250,3900
G3534603K,2017,240000,6300,200,150,2100
G1244210J,2017,620000,3300,1200,100,900
G4040199X,2017,40000,900,2200,50,2400
G2041697L,2017,960000,3000,1200,400,2400
G2793192J,2017,430000,7600,1100,1100,1800
G4342820B,2017,300000,6000,2200,150,5500
G5522111L,2017,880000,9000,2500,0,3100
G4912675J,2017,420000,4900,1700,150,4800
G5999931L,2017,260000,10000,2300,900,2600
G1795988B,2017,280000,8600,1500,350,2300
G1333990K,2017,940000,1900,2300,950,3600
G5738743L,2017,630000,5900,2100,950,1200
G2085120J,2017,220000,3000,2100,550,1600
G2310287B,2017,780000,3100,2200,1150,4700
G1956761J,2017,600000,7200,900,700,4500
G1196695B,2017,380000,8000,1300,900,300
G2833384K,2017,650000,7900,2400,100,800
G5572847J,2017,530000,2300,1200,1100,1600
G624008K,2017,780000,1000,900,450,1700
G5014627A,2017,390000,5300,2500,50,5400
G804236K,2017,560000,6600,1200,450,300
G920237K,2017,150000,7300,2100,600,4200
G4213772K,2017,730000,7500,1100,600,2000
G3706894A,2017,850000,9800,1900,150,3700
G1024254K,2017,430000,6000,2000,750,2100
G3693448X,2017,550000,8900,400,500,4900
G1049809L,2017,110000,3300,1900,800,3500
G1021676J,2017,590000,5900,1000,600,2600
G5377644J,2017,190000,5000,1100,950,2400
G1879125A,2017,680000,6900,2100,400,700
G1022812K,2017,200000,4700,800,700,3700
G4775883L,2017,670000,9000,1800,350,600
G4866299K,2017,360000,1900,2300,400,3700
G4440708J,2017,390000,5900,2300,250,3900
G5382059B,2017,650000,7300,300,750,1000
G3604692L,2017,360000,8100,2300,900,3000
G870054K,2017,900000,700,800,900,1400
G5755326L,2017,110000,5600,600,100,4100
G2664734X,2017,530000,700,1000,1250,2600
G1386692L,2017,710000,5200,1600,750,600
G5942947L,2017,910000,7100,2000,250,1600
G4393559X,2017,590000,7900,100,100,5000
G1596848K,2017,740000,5700,1400,950,100
G4375540L,2017,40000,4300,1300,450,3600
G1020490X,2017,580000,4500,800,750,2500
G4767829A,2017,870000,5700,1600,400,2900
G4357838X,2017,250000,4200,1600,1250,1100
G748010L,2017,580000,4200,1800,300,400
G4998227L,2017,960000,6000,1900,400,4000
G2377416X,2017,890000,9900,1700,800,2600
G3822859J,2017,510000,5000,300,1050,2600
G2051895L,2017,770000,500,1100,1200,5400
G4440602X,2017,340000,3500,1400,100,1500
G5785977K,2017,250000,1400,700,450,5300
G2564050X,2017,970000,1100,500,1250,5200
G3420945L,2017,290000,5900,400,1100,2100
G2261265L,2017,310000,5200,800,50,4000
G5890509L,2017,940000,5500,2300,550,1400
G4605091J,2017,390000,800,2100,1000,3300
G5150651K,2017,470000,9800,300,400,200
G4024843K,2017,530000,5500,100,600,4000
G1399874K,2017,190000,9900,1200,50,2000
G5616385A,2017,190000,4000,2000,500,1800
G4623009K,2017,860000,1300,600,1000,600
G553418J,2017,60000,2600,400,950,200
G2592951B,2017,90000,800,400,250,3000
G5754991A,2017,680000,6700,800,150,5000
G818716J,2017,910000,4700,1900,550,2900
G3570550K,2017,340000,4400,2000,400,800
G2053134B,2017,460000,7300,400,650,4900
G3091960B,2017,60000,5600,1600,500,3400
G3345923K,2017,950000,8400,2200,1100,1900
G5818112A,2017,590000,300,2500,1050,200
G4976669L,2017,690000,1100,600,1000,4300
G1449212L,2017,90000,2400,400,450,1200
G3539125K,2017,100000,1400,1400,1050,1400
G383365K,2017,920000,2300,200,850,2100
G4149171A,2017,100000,8200,900,1100,4100
G4062210A,2017,180000,3000,100,150,900
G4153068K,2017,40000,2000,2400,800,0
G409415L,2017,180000,3900,2000,900,4100
G5265389K,2017,720000,4200,2000,0,5100
G949250A,2017,240000,7400,800,1050,1000
G550926K,2017,300000,300,1100,250,400
G5916336K,2017,180000,700,1900,600,1800
G2191423X,2017,200000,6200,900,1150,2600
G4861425J,2017,1000000,1900,1400,1250,4800
G4096849J,2017,360000,6400,1500,0,3900
G5341782L,2017,560000,4800,1400,1200,1600
G304598K,2017,290000,4700,1900,1000,1100
G1950427L,2017,360000,5700,2500,500,200
G3856689K,2017,390000,5400,1600,900,1000
G1972019A,2017,550000,3400,800,750,2100
G3102722A,2017,880000,7400,1100,750,5200
G3836411J,2017,230000,8600,100,150,4800
G3736345L,2017,310000,6400,1700,250,3000
G1163078X,2017,700000,8800,1000,850,2600
G3557034K,2017,880000,1200,900,500,4200
G1844303L,2017,700000,3900,300,900,5200
G2618167A,2017,640000,4100,2100,650,2300
G2496639K,2017,390000,8100,2300,50,3500
G2089829K,2017,210000,4500,600,700,900
G2852982B,2017,150000,4800,900,300,5000
G281144X,2017,970000,9500,2400,200,4700
G4872734L,2017,330000,7800,2100,1150,1600
G861324K,2017,370000,7700,1900,1250,5300
G409350L,2017,290000,1300,1900,250,5300
G2077884K,2017,180000,6700,2000,600,1700
G1478168K,2017,430000,8900,1700,1250,2800
G3482786X,2017,660000,9400,500,800,700
G2006277K,2017,240000,9300,800,850,900
G5319712A,2017,380000,8900,2100,850,3300
G4368700X,2017,500000,4800,400,700,2100
G3919175A,2017,310000,5600,1800,800,1500
G1273106X,2017,660000,3300,1600,150,800
G3191212J,2017,550000,6900,2200,600,800
G1011737A,2017,640000,4400,1000,1200,1300
G2170243K,2017,840000,4300,400,550,4900
G608980B,2017,460000,2700,2300,900,100
G3234385L,2017,920000,6500,1700,0,3800
G5891386J,2017,680000,3600,1700,300,4800
G2228854L,2017,440000,3100,100,50,1300
G5897894K,2017,100000,600,500,650,3900
G2914467A,2017,780000,3900,1100,950,3700
G3170858X,2017,250000,2800,0,1200,4400
G594459X,2017,590000,8300,1000,1100,4200
G3729840K,2017,350000,2900,700,700,5100
G1419745J,2017,900000,600,800,1100,5500
G3414049J,2017,460000,9000,2400,600,1200
G1067899L,2017,70000,9400,700,200,400
G3691700L,2017,640000,3700,2500,450,2900
G2324249J,2017,420000,2700,1400,850,2200
G5886292K,2017,260000,6400,700,150,2400
G1824161K,2017,710000,5300,2400,250,2000
G3390255L,2017,80000,6100,700,1150,3800
G567685L,2017,350000,6500,2200,1150,3600
G1172797J,2017,840000,6100,900,700,3100
G5675388X,2017,300000,4700,1000,750,2900
G3760077X,2017,420000,10000,300,1100,1100
G5633005X,2017,570000,6900,1000,650,2300
G1470993X,2017,950000,2400,200,200,4600
G4203956B,2017,230000,5100,800,500,5400
G5459552K,2017,170000,700,1200,1250,600
G5549550B,2017,170000,2000,1500,150,5000
G1562134L,2017,560000,5300,2400,650,2200
G3762305A,2017,780000,6900,1600,1250,2000
G4424083L,2017,910000,7300,1600,350,4300
G4373337X,2017,440000,1400,1900,900,500
G4985136X,2017,860000,4100,2400,850,2200
G0231165N,2016,40000,400,600,500,1600
G1313453B,2016,82000,870,400,1050,100
G3949886J,2016,71000,720,700,850,1100
G5426931L,2016,75000,480,1000,350,2800
G2545794K,2016,80000,890,1400,650,4100
G4276542L,2016,50000,570,100,1200,3500
G3631101A,2016,67000,680,100,550,1700
G5075847K,2016,59000,970,2100,750,1000
G2473830A,2016,46000,320,2100,850,1600
G2270783K,2016,46000,600,1600,0,4900
G1707244L,2016,98000,430,0,950,1900
G944818L,2016,90000,560,1400,150,2400
G4043823B,2016,99000,700,400,300,3500
G5719219L,2016,79000,520,1500,1200,1800
G2320006K,2016,53000,740,1600,300,4400
G3870869K,2016,94000,1000,700,200,3700
G1412296X,2016,61000,720,1100,700,300
G3892942X,2016,100000,630,2500,1100,3700
G5732731B,2016,54000,690,300,950,3900
G1310326L,2016,89000,380,100,50,4900
G2245764B,2016,58000,890,200,200,2200
G4430368L,2016,56000,720,900,400,1600
G4138950K,2016,63000,390,1700,550,3800
G1716730A,2016,75000,910,2000,750,2700
G3876410X,2016,92000,730,1200,500,1700
G3147944J,2016,47000,990,1400,1250,3100
G5424650B,2016,70000,340,1000,150,2300
G5135637L,2016,68000,830,2400,400,3500
G346003A,2016,96000,770,2100,950,1700
G401131J,2016,99000,930,300,1050,2800
G2028978J,2016,90000,700,1800,650,3800
G657780L,2016,51000,750,2400,0,1500
G4095420B,2016,57000,330,100,1250,3200
G4883714B,2016,98000,730,1300,100,1500
G2628497L,2016,90000,690,2000,900,1400
G4566797L,2016,63000,300,1000,950,3600
G3711472L,2016,92000,960,2000,1100,4500
G883474K,2016,100000,750,2100,50,1600
G3140663A,2016,98000,950,200,500,3700
G1703372K,2016,90000,370,2500,1000,4200
G5911904L,2016,59000,500,0,750,2100
G2339872B,2016,65000,810,100,550,4700
G4610833L,2016,45000,470,2400,350,4800
G3985913B,2016,53000,680,2100,700,600
G1482562J,2016,82000,490,100,1000,4000
G695286B,2016,84000,610,1700,600,400
G4185211L,2016,57000,410,0,100,2600
G3624412J,2016,56000,330,100,650,2700
G2501262B,2016,45000,620,1500,200,2300
G3980030X,2016,82000,910,2000,1100,1300
G5836988X,2016,46000,360,2500,950,2700
G4171006X,2016,80000,730,500,50,0
G3704367J,2016,60000,680,1000,1200,2000
G4827770L,2016,87000,890,2000,600,2600
G4123007B,2016,89000,380,1200,700,1200
G3806153A,2016,76000,340,1900,400,400
G383720L,2016,62000,530,300,800,1500
G5848510L,2016,50000,780,800,1200,4100
G2056092L,2016,94000,690,300,100,0
G5253431K,2016,72000,850,1500,550,800
G3997288L,2016,85000,300,1700,600,3700
G4380348J,2016,63000,980,2100,750,1900
G4677015K,2016,83000,380,2000,1150,900
G4017000L,2016,66000,300,2500,950,2800
G636102L,2016,85000,460,1900,900,4400
G5285964A,2016,53000,810,2100,900,3900
G3771894X,2016,80000,430,1600,300,1800
G763917K,2016,90000,450,2500,100,2100
G3157657A,2016,72000,950,1200,1100,3700
G2940189B,2016,59000,760,2200,800,700
G838096A,2016,71000,710,1800,400,1700
G2045092K,2016,49000,530,100,0,4600
G5141015L,2016,56000,520,100,400,1800
G831308X,2016,53000,630,1300,1200,3100
G1423705L,2016,98000,430,900,850,2100
G4650621J,2016,64000,350,500,1100,1000
G4162273L,2016,56000,320,1000,100,1400
G4307395K,2016,55000,430,900,800,3200
G3960880L,2016,85000,460,400,800,300
G4396273A,2016,85000,950,600,550,2500
G5267399A,2016,83000,370,400,800,2000
G5495894X,2016,67000,520,1000,800,4700
G5779247L,2016,61000,570,900,400,3000
G5337818K,2016,94000,520,500,350,4900
G970240J,2016,54000,540,500,0,1000
G1337132L,2016,69000,930,200,800,2200
G5359442K,2016,56000,530,2500,400,3900
G1178759K,2016,94000,760,1300,1200,3700
G1368255J,2016,83000,830,1700,1150,0
G4467400J,2016,67000,900,2300,300,3100
G4345720A,2016,54000,1000,500,600,3500
G1311203K,2016,100000,510,100,950,5000
G5670824B,2016,48000,680,400,150,4500
G4023277L,2016,67000,520,1200,250,1300
G1759635A,2016,54000,820,800,150,1500
G257144L,2016,72000,510,1200,1200,1300
G2244293J,2016,75000,750,600,50,3500
G5887032L,2016,63000,670,2000,100,1600
G5921498K,2016,68000,470,1700,50,2500
G4816819L,2016,87000,630,800,400,300
G3272173K,2016,60000,610,1300,700,4100
G3366438J,2016,66000,550,800,900,700
G474224X,2016,89000,560,1900,550,1900
G5688557K,2016,56000,380,200,1050,1800
G1703705J,2016,88000,810,1700,300,3700
G1507466L,2016,55000,740,400,600,3200
G1012880B,2016,67000,810,1600,300,2600
G3770185J,2016,47000,550,500,1150,1200
G3680020L,2016,70000,630,900,250,100
G5569002K,2016,76000,950,2300,0,3900
G1692227X,2016,98000,810,1200,750,3900
G1688732A,2016,57000,720,200,250,800
G3376315J,2016,82000,710,700,800,1700
G1586033B,2016,64000,1000,1800,400,2700
G3366103K,2016,96000,480,1300,1250,1100
G1135158J,2016,89000,630,1400,450,2000
G5858113L,2016,73000,850,1900,450,2600
G5204441B,2016,67000,770,100,1150,4400
G3953061K,2016,87000,440,0,1050,4500
G5187962A,2016,48000,730,1600,1200,1700
G4614486L,2016,54000,830,100,350,3200
G2158826J,2016,88000,850,800,650,4500
G2006988X,2016,73000,1000,200,1200,1100
G1562479L,2016,78000,1000,900,700,1000
G5977812A,2016,81000,700,100,0,3800
G233706X,2016,78000,720,0,350,900
G2001114L,2016,94000,530,200,950,4400
G4488887B,2016,83000,570,1300,500,4300
G5359292X,2016,93000,500,700,500,2100
G4017540L,2016,62000,350,900,450,3200
G4665402A,2016,55000,820,2100,1100,3000
G773085K,2016,98000,870,700,1200,3300
G807821L,2016,60000,990,1100,300,2100
G2614105A,2016,57000,640,1100,1000,1300
G295677X,2016,62000,640,2500,700,4300
G5051031J,2016,60000,1000,1900,50,400
G2745574L,2016,91000,850,300,800,4600
G1147657L,2016,61000,540,2300,350,3700
G970208K,2016,93000,860,700,500,1800
G4980424A,2016,86000,640,1800,650,2300
G5895901J,2016,69000,870,1600,400,3100
G5529535B,2016,52000,640,2500,1050,2800
G3952305L,2016,95000,420,2200,250,1500
G5614051J,2016,79000,880,1500,0,200
G3665122L,2016,62000,530,400,0,3700
G3350604K,2016,68000,600,100,900,3300
G2801272L,2016,59000,910,1600,950,3500
G1195373J,2016,85000,350,300,850,2200
G5732730L,2016,52000,590,1600,1000,2800
G5122335A,2016,83000,500,1900,1200,1500
G5076740B,2016,82000,520,1100,200,3600
G803842K,2016,92000,970,1800,550,4000
G1819805B,2016,89000,800,1700,550,2800
G2313520K,2016,58000,600,100,900,5000
G3459665L,2016,64000,660,1000,800,600
G4067829K,2016,70000,870,500,300,300
G3798892K,2016,82000,510,1100,150,2300
G1552532B,2016,56000,300,700,500,3400
G5353246A,2016,62000,490,1700,250,4900
G1977675L,2016,52000,480,500,250,300
G2200356L,2016,91000,480,700,800,1500
G400490L,2016,88000,530,1000,150,400
G4533445X,2016,59000,770,200,650,3300
G1174936L,2016,86000,870,200,50,3300
G5877506L,2016,99000,750,1100,600,3100
G4029170L,2016,99000,970,1400,1050,2200
G2747619J,2016,72000,880,500,1050,1100
G290846L,2016,95000,700,2200,500,4800
G2054332X,2016,79000,990,1200,0,900
G1172842A,2016,99000,410,400,650,4700
G4525882K,2016,91000,540,200,100,2000
G379602J,2016,56000,730,1800,650,4900
G5510726A,2016,63000,700,1500,500,4800
G524086A,2016,82000,470,1400,1250,600
G1371700K,2016,53000,600,2400,50,100
G3106999X,2016,86000,780,2000,900,4700
G870054L,2016,55000,700,1300,350,3100
G1267967X,2016,52000,930,2300,0,100
G4973369A,2016,99000,1000,500,450,3900
G3583326L,2016,98000,590,600,100,2400
G711141L,2016,45000,300,2500,700,2300
G1844144J,2016,55000,600,1600,200,1100
G5714967K,2016,91000,640,1600,450,3600
G3337826L,2016,47000,350,900,1250,4500
G4341766X,2016,71000,490,2200,700,1600
G2904397X,2016,80000,860,800,500,3700
G5888463L,2016,78000,870,2000,100,3800
G2735872L,2016,61000,600,2000,300,3100
G896562K,2016,56000,440,1100,1000,3200
G3482845K,2016,57000,380,2000,200,1400
G2248376L,2016,63000,850,2000,550,2700
G2992355X,2016,66000,350,300,250,100
G3943723L,2016,97000,700,200,850,4400
G5279326L,2016,83000,840,1000,250,200
G2407965J,2016,61000,400,1100,500,3700
G4439391K,2016,77000,730,2500,1150,400
G2736602J,2016,55000,860,1600,650,1800
G1377807L,2016,72000,630,2100,100,4500
G4559922L,2016,81000,800,2100,150,4300
G4466444A,2016,78000,970,2400,950,700
G4944363K,2016,70000,870,1000,450,1100
G1384930X,2016,86000,370,700,50,2300
G4102128K,2016,90000,450,2300,1000,4600
G717307J,2016,71000,810,1300,1100,4700
G4475606L,2016,89000,840,1900,650,3700
G4873965X,2016,81000,680,200,550,600
G1305696A,2016,97000,830,1300,1250,4000
G1627426A,2016,79000,490,1500,550,2100
G2852825B,2016,57000,420,2000,850,1200
G3227202B,2016,68000,830,2300,550,4400
G2129172L,2016,69000,460,800,1250,2900
G1224530A,2016,55000,890,1200,500,600
G3562895X,2016,81000,770,1200,850,2500
G1450679X,2016,47000,560,400,1200,4000
G1605260L,2016,62000,440,1900,500,2600
G4970168L,2016,74000,960,2400,600,3300
G5260915K,2016,87000,570,1200,950,4600
G4706323J,2016,77000,800,1200,650,1000
G3833250L,2016,99000,950,2000,600,4700
G4141911L,2016,53000,700,1500,750,2900
G1816284B,2016,92000,660,1700,950,4400
G3769485K,2016,60000,450,300,1250,800
G997553L,2016,70000,530,1800,150,400
G1876842X,2016,55000,450,2200,250,2900
G3477092K,2016,79000,320,1700,200,4600
G5048213K,2016,47000,890,100,300,3600
G1839573A,2016,99000,460,1400,50,1700
G5298170K,2016,82000,450,0,100,1300
G1886927K,2016,70000,790,1700,500,2000
G3412143L,2016,50000,570,2200,500,4900
G4483111L,2016,54000,730,1700,950,4900
G1601240B,2016,58000,800,200,200,600
G4266450L,2016,76000,320,2300,550,1300
G2921423K,2016,45000,680,2300,50,3000
G5027873K,2016,64000,960,200,750,4300
G3415039L,2016,90000,340,2400,500,4200
G1369833K,2016,61000,450,0,1100,2000
G1787147K,2016,50000,990,100,50,3000
G1041902X,2016,100000,720,1300,300,1500
G3294467B,2016,70000,810,2000,650,1100
G1086477X,2016,64000,710,2000,750,4700
G4945102K,2016,67000,340,400,1250,2100
G572903K,2016,78000,380,200,1250,1600
G2509477L,2016,56000,990,1800,450,3200
G4486863A,2016,95000,1000,2300,400,700
G452112X,2016,81000,900,1800,50,2000
G2938615K,2016,89000,960,1600,50,2300
G1243705J,2016,64000,320,1500,0,4300
G4604685A,2016,69000,670,1300,900,4600
G2313089X,2016,62000,620,600,1200,400
G5783776K,2016,78000,620,800,50,3600
G2848643B,2016,57000,570,100,1050,2700
G2447571K,2016,47000,620,2500,900,3100
G3229637K,2016,91000,460,1900,850,1100
G4190028L,2016,93000,540,1100,600,800
G1183327K,2016,79000,570,1900,1000,3200
G5664699J,2016,91000,700,500,950,3200
G2849787A,2016,61000,400,1300,1000,3700
G982849L,2016,45000,740,700,350,1400
G440031K,2016,74000,640,2100,950,4900
G1841333X,2016,60000,630,1100,500,2700
G2529236L,2016,70000,380,2100,100,3600
G1668457K,2016,55000,760,100,400,2800
G1743330A,2016,98000,390,100,600,4200
G4322700K,2016,69000,850,500,550,3600
G5065583L,2016,94000,860,800,400,1200
G1717232K,2016,56000,960,400,1050,4500
G831223J,2016,54000,320,300,750,2400
G1304501B,2016,56000,610,1900,850,2300
G5373262L,2016,79000,1000,2000,1050,1000
G1693520L,2016,82000,1000,300,750,4100
G5759395J,2016,54000,340,1500,0,1300
G4526230X,2016,99000,970,500,1100,4600
G2495572L,2016,68000,770,2500,1200,800
G2753663A,2016,70000,640,1400,200,1700
G5967678X,2016,57000,580,1000,750,3200
G311328X,2016,91000,360,1000,550,4900
G5475234K,2016,72000,940,2500,1100,1900
G5088236J,2016,67000,820,1600,150,100
G1254406X,2016,84000,350,700,1150,1300
G3965852K,2016,96000,650,500,1000,5000
G3880828L,2016,62000,800,1500,1150,2600
